Name,Color,L,W,T,P/S
sb184,7DA7B0,20,19,10,0
sb185,7DA7B0,13,44,10,0
sb186,7DA7B0,13,48,10,0
sb187,7DA7B0,22,24,10,0
sb188,7DA7B0,24,40,10,0
sb189,7DA7B0,31,20,10,0
sb190,7DA7B0,37,34,10,0
sb191,7DA7B0,42,37,10,0
sb192,7DA7B0,22,28,10,0
sb193,7DA7B0,42,43,10,0
sb194,7DA7B0,42,43,10,0
sb195,7DA7B0,25,36,10,0
sb196,7DA7B0,39,16,10,0
sb197,7DA7B0,47,35,10,0
sb198,7DA7B0,22,40,10,0
sb199,7DA7B0,34,40,10,0
