Name,Color,L,W,T,P/S
sb218,7DA7B0,43,15,10,0
sb219,7DA7B0,28,18,10,0
sb220,7DA7B0,30,37,10,0
sb221,7DA7B0,13,45,10,0
sb222,7DA7B0,34,25,10,0
sb223,7DA7B0,22,19,10,0
sb224,7DA7B0,45,21,10,0
sb225,7DA7B0,47,38,10,0
sb226,7DA7B0,39,16,10,0
sb227,7DA7B0,13,32,10,0
sb228,7DA7B0,21,20,10,0
sb229,7DA7B0,24,48,10,0
sb230,7DA7B0,30,33,10,0
sb231,7DA7B0,16,30,10,0
sb232,7DA7B0,42,23,10,0
sb233,7DA7B0,16,13,10,0
sb234,7DA7B0,33,18,10,0
sb235,7DA7B0,22,46,10,0
sb236,7DA7B0,27,39,10,0
sb237,7DA7B0,21,40,10,0
sb238,7DA7B0,27,39,10,0
sb239,7DA7B0,40,22,10,0
sb240,7DA7B0,23,19,10,0
sb241,7DA7B0,13,24,10,0
sb242,7DA7B0,22,40,10,0
sb243,7DA7B0,37,34,10,0
sb244,7DA7B0,37,13,10,0
sb245,7DA7B0,36,24,10,0
sb246,7DA7B0,23,44,10,0
sb247,7DA7B0,36,39,10,0
sb248,7DA7B0,43,31,10,0
sb249,7DA7B0,35,27,10,0
sb250,7DA7B0,31,34,10,0
sb251,7DA7B0,43,34,10,0
sb252,7DA7B0,19,28,10,0
sb253,7DA7B0,15,13,10,0
sb254,7DA7B0,24,13,10,0
sb255,7DA7B0,47,39,10,0
sb256,7DA7B0,21,13,10,0
sb257,7DA7B0,17,33,10,0
sb258,7DA7B0,44,34,10,0
sb259,7DA7B0,26,12,10,0
sb260,7DA7B0,19,12,10,0
sb261,7DA7B0,12,45,10,0
sb262,7DA7B0,27,48,10,0
sb263,7DA7B0,47,46,10,0
sb264,7DA7B0,45,23,10,0
sb265,7DA7B0,45,15,10,0
sb266,7DA7B0,45,48,10,0
sb267,7DA7B0,34,39,10,0
sb268,7DA7B0,22,25,10,0
sb269,7DA7B0,37,18,10,0
sb270,7DA7B0,23,15,10,0
sb271,7DA7B0,42,24,10,0
sb272,7DA7B0,24,35,10,0
sb273,7DA7B0,21,30,10,0
sb274,7DA7B0,33,21,10,0
sb275,7DA7B0,22,28,10,0
sb276,7DA7B0,31,14,10,0
sb277,7DA7B0,12,47,10,0
sb278,7DA7B0,13,42,10,0
sb279,7DA7B0,39,43,10,0
sb280,7DA7B0,31,22,10,0
sb281,7DA7B0,30,18,10,0
sb282,7DA7B0,44,30,10,0
sb283,7DA7B0,13,15,10,0
sb284,7DA7B0,30,21,10,0
sb285,7DA7B0,13,33,10,0
sb286,7DA7B0,36,41,10,0
sb287,7DA7B0,42,21,10,0
sb288,7DA7B0,28,36,10,0
sb289,7DA7B0,33,37,10,0
sb290,7DA7B0,16,27,10,0
sb291,7DA7B0,28,43,10,0
sb292,7DA7B0,24,39,10,0
sb293,7DA7B0,43,19,10,0
sb294,7DA7B0,17,26,10,0
sb295,7DA7B0,43,13,10,0
sb296,7DA7B0,16,27,10,0
sb297,7DA7B0,38,31,10,0
sb298,7DA7B0,33,40,10,0
sb299,7DA7B0,13,13,10,0
